V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;ND;CE
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;4;1,17;1,82;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;4;1,17;1,82;Cadena de coco
2,64;3,8;2,46;1,17;3,17;2,8;2,89;2,63;3;3,33;3;3,56;3,86;4,27;3,67;3,08;Cadena de coco
2,64;2,8;2,38;1,17;2,83;2,8;2,67;2,63;3;3,33;3;3,22;3,29;4,27;3;2,91;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;4;1,17;1,82;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;4;1,17;1,82;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,44;1,57;4;1,17;1,83;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;3,91;1,17;1,81;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;4;1,17;1,82;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;4;1,17;1,82;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;4;1,17;1,82;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;4;1,17;1,82;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;4;1,17;1,82;Cadena de coco
1,36;2,8;1,46;1,17;2,17;2,8;1,78;1,5;1,22;1;1;2,22;1,57;4;1,17;1,82;Cadena de coco
